ISBN,Publish Date,Season,Season (int)
0399162372,2011-08-30,Summer,2
0385352859,2011-09-05,Autumn,3
038553714X,2011-09-01,Autumn,3
0385538030,2011-08-02,Summer,2
0307962520,2011-09-14,Autumn,3
0399172920,2011-09-13,Autumn,3
0316225932,2011-09-12,Autumn,3
0061692069,2011-09-13,Autumn,3
0062325345,2011-09-13,Autumn,3
1455525898,2011-09-13,Autumn,3
159420571X,2011-09-27,Autumn,3
031621096X,2011-09-27,Autumn,3
0399173358,2011-10-01,Autumn,3
1439199353,2011-09-20,Autumn,3
0345539931,2011-10-03,Autumn,3
0399165134,2011-10-04,Autumn,3
1476746826,2011-10-04,Autumn,3
0525954546,2011-10-04,Autumn,3
031621115X,2011-10-18,Autumn,3
0525954562,2011-10-24,Autumn,3
1594205418,2011-10-25,Autumn,3
0805093990,2011-11-01,Autumn,3
0060004908,2011-11-01,Autumn,3
0062220551,2011-11-08,Autumn,3
0062349376,2011-11-15,Autumn,3
0399167641,2011-11-22,Autumn,3
125001011X,2011-12-06,Winter,0
1455559822,2012-01-10,Winter,0
031640702X,2012-01-17,Winter,0
0316176532,2012-01-16,Winter,0
0446580856,2012-02-07,Winter,0
1101875895,2012-02-07,Winter,0
0385352875,2012-02-07,Winter,0
1101875046,2012-02-07,Winter,0
0062290398,2012-02-14,Winter,0
0385342942,2012-02-14,Winter,0
0345531000,2012-02-21,Winter,0
0316407011,2012-02-20,Winter,0
0345534182,2012-02-27,Winter,0
081299891X,2012-04-03,Spring,1
006229766X,2012-04-03,Spring,1
0316410985,2012-04-03,Spring,1
0062429051,2012-04-03,Spring,1
0553391690,2012-04-09,Spring,1
1455520616,2012-04-10,Spring,1
0316349933,2012-04-10,Spring,1
006232540X,2012-04-17,Spring,1
0060548959,2012-04-24,Spring,1
1501111671,2012-04-24,Spring,1
1451664168,2012-05-01,Spring,1
0062294415,2012-04-30,Spring,1
039916149X,2012-04-30,Spring,1
1501108557,2012-05-08,Spring,1
1501119796,2012-05-15,Spring,1
0385539258,2012-05-15,Spring,1
1400067693,2012-05-22,Spring,1
0525954554,2012-05-29,Spring,1
0525429476,2012-05-01,Spring,1
0345531051,2012-06-04,Summer,2
0399170898,2012-06-12,Summer,2
1400068266,2012-06-11,Summer,2
0553391925,2012-06-19,Summer,2
0399176608,2012-06-19,Summer,2
0802124801,2011-06-01,Summer,2
0062414216,2012-07-10,Summer,2
0061628018,2012-07-17,Summer,2
0446537519,2012-07-24,Summer,2
0060798718,2012-06-12,Summer,2
0767927567,2012-07-24,Summer,2
1592403611,2012-07-20,Summer,2
0061118184,2012-06-19,Summer,2
0805076034,2012-08-13,Summer,2
0446580503,2012-08-14,Summer,2
0061474622,2012-08-14,Summer,2
0307395634,2012-08-21,Summer,2
087113988X,2012-08-21,Summer,2
0307383296,2012-08-21,Summer,2
1416587624,2012-09-04,Autumn,3
0385526393,2012-09-11,Autumn,3
0470289066,2012-09-11,Autumn,3
0307264785,2012-09-25,Autumn,3
0061430625,2012-09-25,Autumn,3
0805079882,2012-09-25,Autumn,3
0805088156,2012-10-02,Autumn,3
1592403778,2012-10-09,Autumn,3
0979047080,2012-10-23,Autumn,3
0374166854,2012-10-22,Autumn,3
1416558977,2012-10-23,Autumn,3
1596985585,2012-10-30,Autumn,3
1595551565,2012-10-23,Autumn,3
1594489963,2012-10-30,Autumn,3
0767928822,2012-11-13,Autumn,3
1400066123,2012-11-27,Autumn,3
0525950699,2012-10-09,Autumn,3
1594201919,2013-01-29,Winter,0
0446539724,2013-01-29,Winter,0
0385521324,2013-02-05,Winter,0
0061713244,2013-02-12,Winter,0
1599951614,2013-02-19,Winter,0
1400063515,2013-02-05,Winter,0
006075401X,2013-02-11,Winter,0
0316045608,2013-02-19,Winter,0
0307455874,2013-03-05,Spring,1
1416587853,2013-03-05,Spring,1
1600781632,2013-04-01,Spring,1
1416599436,2013-04-02,Spring,1
0446581895,2013-03-26,Spring,1
0316017922,2013-04-16,Spring,1
1595230548,2013-04-16,Spring,1
0375505105,2013-04-23,Spring,1
1594201927,2013-04-23,Spring,1
0393065146,2013-04-23,Spring,1
1439102252,2013-05-07,Spring,1
0393071014,2013-05-07,Spring,1
1439130728,2013-05-06,Spring,1
160320072X,2013-05-14,Spring,1
0316035904,2013-05-14,Spring,1
030735346X,2013-03-19,Spring,1
0061456217,2013-05-21,Spring,1
1400064996,2013-06-18,Summer,2
1596980907,2013-06-11,Summer,2
038551705X,2013-06-18,Summer,2
1439140634,2013-07-09,Summer,2
1594201994,2013-07-02,Summer,2
0143116428,2013-07-15,Summer,2
0307405850,2013-08-06,Summer,2
1596985879,2013-08-13,Summer,2
1594488932,2013-09-03,Autumn,3
159420182X,2013-05-14,Spring,1
1594202028,2013-10-01,Autumn,3
1414319312,2013-10-01,Autumn,3
1400067731,2013-10-01,Autumn,3
0312376537,2013-10-08,Autumn,3
1439110077,2013-10-08,Autumn,3
0805088105,2013-10-15,Autumn,3
0312376316,2013-10-15,Autumn,3
0312377452,2013-10-15,Autumn,3
0316118087,2013-10-22,Autumn,3
0758229631,2013-10-29,Autumn,3
141659910X,2013-10-29,Autumn,3
0345512065,2013-11-05,Autumn,3
