ISBN,Title,FirstDate,LastDate
034551162X,STAR WARS: AFTERMATH,9/20/2015,1/10/2016
1476728208,THE MISTLETOE PROMISE,12/7/2014,1/4/2015
1101875046,IN THE UNLIKELY EVENT,6/21/2015,8/16/2015
034551128X,DARTH PLAGUEIS,1/29/2012,2/19/2012
1416594884,A MOST WANTED MAN,10/26/2008,11/23/2008
039916250X,ZERO HOUR,6/16/2013,7/7/2013
1416550402,TSAR,10/12/2008,11/2/2008
1451664125,IN ONE PERSON,5/27/2012,6/24/2012
1400065747,EVERY LAST ONE,5/2/2010,5/30/2010
031265121X,QUINN,7/31/2011,8/7/2011
125001980X,LOST LAKE,2/9/2014,2/23/2014
1476710767,LIGHT OF THE WORLD,8/11/2013,9/1/2013
1451647018,THE BRIDGE,11/11/2012,11/25/2012
1451628293,A STEP OF FAITH,5/26/2013,6/16/2013
1416548521,SWAN PEAK,7/27/2008,8/17/2008
1451628005,LOST DECEMBER,11/20/2011,12/18/2011
006225071X,THE EMPTY THRONE,1/25/2015,2/8/2015
1250019982,TAKING EVE,5/5/2013,5/12/2013
1250019672,LADIES&#39; NIGHT,6/23/2013,7/7/2013
1455525898,BLUE LABYRINTH,11/30/2014,12/21/2014
1451664168,AVENUE OF MYSTERIES,11/22/2015,1/3/2016
045146365X,SIDE JOBS,11/14/2010,11/28/2010
044655393X,THE PRESIDENT&#39;S SHADOW,7/5/2015,8/2/2015
1594204780,DOG SONGS,10/27/2013,12/29/2013
006195795X,THE WITCH WITH NO NAME,9/28/2014,Not Found
145164020X,THE THIRD BULLET,2/3/2013,2/24/2013
1455581127,MEAN STREAK,9/7/2014,9/28/2014
1250056233,THE PATRIOT THREAT,4/19/2015,5/17/2015
1439191379,MILES TO GO,4/24/2011,5/1/2011
1455501557,LOW PRESSURE,10/7/2012,10/28/2012
1451648138,CREOLE BELLE,8/5/2012,9/2/2012
1451635834,THE EYE OF MOLOCH,6/30/2013,7/7/2013
034550075X,FIRE AND ICE,1/18/2009,2/8/2009
1594202249,INHERENT VICE,8/23/2009,9/13/2009
039915986X,COLLATERAL DAMAGE,1/27/2013,2/10/2013
1451620691,CARTE BLANCHE,7/3/2011,7/24/2011
034550691X,PREY,9/25/2011,10/2/2011
145161778X,ALL FALL DOWN,7/6/2014,8/3/2014
006178480X,THE EYE OF GOD,7/14/2013,8/4/2013
1439128243,RAIN GODS,8/2/2009,8/16/2009
031609966X,SILVER GIRL,7/10/2011,7/31/2011
1451649320,THE LAKE HOUSE,11/8/2015,11/15/2015
1476763127,THE CINDERELLA MURDER,12/7/2014,1/11/2015
1439128294,THE GLASS RAINBOW,8/1/2010,8/29/2010
1401310400,HEAT WAVE,11/1/2009,1/3/2010
1400065933,I STILL DREAM ABOUT YOU,11/28/2010,1/9/2011
1439199353,THE BOSTON GIRL,12/28/2014,4/12/2015
1439172560,THE FIRST BAD MAN,2/1/2015,2/15/2015
1400065941,THE ALL-GIRL FILLING STATION&#39;S LAST REUNION,11/24/2013,12/29/2013
1416586598,FOREIGN INFLUENCE,7/18/2010,8/8/2010
1476758794,THE TAMING OF THE QUEEN,9/13/2015,9/27/2015
