,ISBN,Publisher,Dewey,LC,Title,Number of Pages,Publish Place,Subject Place,Subject,Publish Date,on_NYT,publisher_id,publishplace_id,dewey_id,publisher_freq,publish_place_freq,dewey_freq,Author,author_id,author_frequency
4500,373774591,HQN,,,"long, tall texan #39",340.12267196424136,United States of America,0.0,0.0,2010.0,1,139,356,0,4,1,0,Diana Palmer,1792,2
4501,425234339,Berkley Hardcover,,,"Bullet (Anita Blake, Vampire Hunter)",352.0,,0.0,196.4444444,2010.0,1,1170,0,0,4,0,0,Laurell K. Hamilton,1528,10
4502,399156437,G.P. Putnam's Sons,813/.54,PS3553.U75 S79 2010,The spy,340.12267196424136,New York,1.0,231.0714286,2010.0,1,885,270,345,74,729,667,Clive Cussler,1502,25
4503,1439156336,Simon & Schuster,813/.54,PS3554.E1755 B87 2010,The Burning Wire,414.0,New York,28.66666667,378.2,2010.0,1,470,270,345,62,729,667,Jeffery Deaver,1270,10
4504,446539813,Grand Central Pub.,813/.54,PS3562.U752 R645 2010,Robert Ludlum's The Bourne objective,340.12267196424136,New York,0.0,248.33333330000002,2010.0,1,393,270,345,34,729,667,Eric Lustbader,1812,3
4505,61930210,William Morrow,813/.54,PS3563.A73358 R85 2010,The rule of nine,340.12267196424136,New York,20.0,230.66666669999998,2010.0,1,1614,270,345,65,729,667,Steve Martini,1808,4
4506,385501129,Doubleday,,,The Particular Sadness of Lemon Cake,340.12267196424136,,0.0,173.5454545,2010.0,1,1337,0,0,38,0,0,Aimee Bender,115,1
4507,044658083X,Grand Central Pub.,813/.54,PS3554.E472 L555 2010,The lion,340.12267196424136,New York,41.0,196.0,2010.0,1,393,270,345,34,729,667,Nelson DeMille,923,5
4508,345504968,Ballantine Books,813/.54,PS3553.R542 P37 2010,The Passage,766.0,"New York, USA",9.6,75.68571429,2010.0,1,449,367,345,59,51,667,Justin Cronin,1789,2
4509,61629758,William Morrow,,,Death Echo,340.12267196424136,,0.0,422.2,2010.0,1,1614,0,0,65,0,0,Ann Maxwell,722,2
4510,1439184305,Threshhold Editions,,,The Overton Window,340.12267196424136,"New York, USA",0.0,220.33333330000002,2010.0,1,613,367,0,1,51,0,Glenn Beck,1330,5
4511,399156534,G. P. Putnam's Sons,813/.54,PS3553.O843 W47 2010,Whiplash,340.12267196424136,New York,0.0,216.15384619999998,2010.0,1,1253,270,345,46,729,667,Catherine Coulter,2166,10
4512,055380801X,Bantam Books,813/.54,PS3561.O55 F68 2010,Frankenstein,340.12267196424136,New York,7.0,222.2727273,2010.0,1,121,270,345,24,729,667,Dean Ray Koontz,1485,10
4513,61961175,Morrow,,,Lowcountry Summer,340.12267196424136,,0.0,383.0,2010.0,1,1562,0,0,1,0,0,Dorothea Benton Frank,1132,4
4514,1400066034,Random House,813/.54,PS3556.U76 S73 2010,Spies of the Balkans,340.12267196424136,New York,0.0,375.0,2010.0,1,803,270,345,32,729,667,,0,0
4515,307266109,Alfred A. Knopf,813/.54,PS3555.L5937 I53 2010,Imperial bedrooms,169.0,New York,28.66666667,275.0,2010.0,1,1344,270,345,35,729,667,Bret Easton Ellis,1781,1
4516,1439101078,Gallery Books,813/.54,PS3562.I5123 T48 2010,That perfect someone,340.12267196424136,New York,31.5,219.9,2010.0,1,101,270,345,5,729,667,Johanna Lindsey,107,3
4517,312383304,St. Martin's Press,,,Sizzling Sixteen,340.12267196424136,,0.0,128.5,2010.0,1,1442,0,0,69,0,0,Janet Evanovich,624,16
4518,385343167,Delacorte Press,813/.54,PS3569.T33828 F36 2010,Family ties,322.0,New York,0.0,236.63636359999998,2010.0,1,930,270,345,42,729,667,Danielle Steel,1369,22
4519,1439133611,Baen Books,813/.54,PS3573.E217 M57 2010,Mission of honor,340.12267196424136,"Riverdale, NY",0.0,358.6,2010.0,1,785,25,345,6,5,667,David Weber,635,13
4520,385341970,Delacorte Books,813/.54,PS3569.L275 B76 2010,Broken,340.12267196424136,New York,9.0,441.75,2010.0,1,734,270,345,2,729,667,Karin Slaughter,1257,8
4521,316096156,"Little, Brown and Co.",813/.54,PS3566.A822 P75 2010,Private,385.0,New York,46.0,228.9090909,2010.0,1,1407,270,345,31,729,667,James Patterson,1772,44
4522,1416586598,Atria Books,,,Foreign Influence (Scot Harvath),340.12267196424136,,1.0,167.66666669999998,2010.0,1,1169,0,0,30,0,0,Brad Thor,732,7
4523,034551548X,Ballantine Books,,,Ice Cold,336.0,,0.0,2.0,2010.0,1,449,0,0,59,0,0,Tess Gerritsen,658,5
4524,805087745,Henry Holt and Co.,813/.54,PS3566.A8242 I5 2010,In the name of honor,340.12267196424136,New York,0.0,205.2,2010.0,1,746,270,345,4,729,667,Richard North Patterson,190,4
4525,1400065453,Random House,823/.914,PR6063.I785 T47 2010,The thousand autumns of Jacob De Zoet,340.12267196424136,New York,1.0,265.375,2010.0,1,803,270,324,32,729,89,David Mitchell,802,2
4526,399156577,G.P. Putnam's Sons,813/.54,PS3568.O243 S435 2010,The search,340.12267196424136,New York,1.0,196.3846154,2010.0,1,885,270,345,74,729,667,Nora Roberts,677,9
4527,316043877,"Little, Brown and Co.",813/.54,PS3558.I384355 I85 2010,The island,340.12267196424136,New York,9.666666667000001,235.5714286,2010.0,1,1407,270,345,31,729,667,Elin Hilderbrand,1085,4
4528,425234355,Berkley Hardcover,,,"Undead and Unfinished (Queen Betsy, Book 9)",320.0,,0.0,231.58333330000002,2010.0,1,1170,0,0,4,0,0,MaryJanice Davidson,71,2
4529,312595670,St. Martin's Press,813/.6,PR9199.4.S739 S75 2010,Still missing,342.0,New York,1.0,301.6666667,2010.0,1,1442,270,287,69,729,205,Chevy Stevens,1449,1
4530,743294270,Atria Books,,,Fly Away Home,340.12267196424136,,0.0,263.2,2010.0,1,1169,0,0,30,0,0,Jennifer Weiner,347,6
4531,1439128294,Simon & Schuster,813/.54,PS3552.U723 G58 2010,The glass rainbow,340.12267196424136,New York,3.333333333,280.125,2010.0,1,470,270,345,62,729,667,James Lee Burke,1000,5
4532,670021873,Viking,823/.92,PR6106.R457 F35 2010,Faithful Place,400.0,"New York, USA",18.4,161.5,2010.0,1,63,367,443,25,51,18,Tana French,1841,3
4533,553807242,Bantam Books,813/.54,PS3557.A7132 L58 2010,Live to tell,340.12267196424136,New York,0.0,408.8,2010.0,1,121,270,345,24,729,667,Lisa Gardner,706,7
4534,385531540,Doubleday,813/.54,PS3568.E476284 R84 2010,Rules of betrayal,372.0,New York,20.5,312.85714289999993,2010.0,1,1337,270,345,38,729,667,Christopher Reich,1524,3
4535,399156585,Putnam,,,The Rembrandt Affair (Gabriel Allon #10),340.12267196424136,,0.0,128.0,2010.0,1,458,0,0,13,0,0,Daniel Silva,1337,8
4536,345511328,Del Rey,,,Fatal Alliance (Star Wars: The Old Republic),340.12267196424136,,0.0,17.0,2010.0,1,446,0,0,7,0,0,Sean Williams,515,2
