Nannies,2
Bildungsromans,2
"Holocaust, Jewish (1939-1945)",2
Cryptographers,2
fictional works,2
Robert Langdon (Fictitious character),2
"Langdon, Robert (Fictitious character)",2
Scottish Americans,2
V. I. Warshawski (Fictitious character),2
Isabel Dalhousie (Fictitious character),2
nyt:trade_fiction_paperback=2010-07-04,2
Spiritual life,2
Extortion,2
Forgotten realms (Imaginary place),2
Man Booker Prize Winner,2
Epic Fantasy,2
"Dust Bowl Era, 1931-1939",2
Railroad trains,2
Piracy,2
Hijacking of ships,2
Quarantine,2
Veterinarians,2
Teacher-student relationships,2
Blessing and cursing,2
Prisoners of war,2
Women scientists,2
Genetic engineering,2
nyt:mass_market_paperback=2010-09-19,2
Retirees,2
Joe  Pike (Fictitious character),2
Painters,2
Appreciation,2
Cities and towns,2
Cotton trade,2
Lumber trade,2
Charles Ferguson (Fictitious character),2
Shoemakers,2
Women judges,2
Surgeons,2
Virtual reality,2
Cults,2
Armageddon,2
Isabel Spellman (Fictitious character),2
Julia Springer (Fictitious character),2
Illegitimate children,2
Women pediatricians,2
Great Britain. Metropolitan Police Office. Criminal Investigation Dept.,2
Attorney and client,2
nyt:combined_print_fiction=2012-02-25,2
Stay-at-home mothers,2
Retired military personnel,2
Protection,2
Jason Bourne,2
Aircraft accidents,2
Bombings,2
Radicals,2
secrets,2
John Corey (Fictitious character),2
Human experimentation in medicine,2
dystopia,2
nyt:mass_market_paperback=2011-07-02,2
Nanotechnology,2
Monsters,2
Underground movements,2
nyt:mass_market_paperback=2011-06-25,2
detective,2
Cousins,2
Hell,2
Thanksgiving Day,2
Women singers,2
College graduates,2
Janitors,2
Women park rangers,2
Impostors and imposture,2
Couples,2
United States. Drug Enforcement Administration,2
Drug control,2
Humorous stories,2
Dystopias,2
Dexter Morgan (Fictitious character),2
Neighbors,2
family life,2
nyt:trade_fiction_paperback=2011-09-17,2
Indians of North America,2
Indian women,2
Harry Bosch,2
nyt:mass_market_paperback=2011-09-10,2
Money laundering,2
Nuclear warfare,2
Christian fiction,2
Prophecy,2
nyt:mass_market_paperback=2011-07-23,2
Inner cities,2
Environmentalists,2
nyt:mass_market_paperback=2011-09-17,2
nyt:mass_market_paperback=2011-10-22,2
"Sr. Ryan, Jack (Fictitious character)",2
Homicide investigation,2
Police recruits,2
Alchemy,2
Science and magic,2
Children of murder victims,2
nyt:mass_market_paperback=2011-10-29,2
Authors' spouses,2
nyt:hardcover_fiction=2011-05-28,2
Lesbians,2
Recovering alcoholics,2
Orphanages,2
Transgender people,2
nyt:mass_market_paperback=2012-02-25,2
