date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2008-12-28,0399155163,141659485X,0316018724,0061374229,0316068047,1439115303,0399155295,0446579939,0060393491,0307264238,0446195502,0345485793,0553807137,0446533424,0307270777,0385340990,0743270428,1439129177,0307269752,039915583X
2009-01-04,141659485X,0399155163,0316018724,0061374229,0316068047,1439115303,0446579939,0399155295,0307264238,0060393491,0446195502,0553807137,0446533424,0307270777,0385340990,0345485793,0307269752,0743270428,0307265730,0385340265
2009-01-11,0399155163,0316018724,141659485X,0061374229,0316068047,1439115303,0446579939,0060393491,0399155295,0446195502,0307264238,0553807137,0446533424,0345485793,0307270777,0385340265,0743270428,0060548924,0385340990,1439129177
2009-01-18,0399155171,0399155163,0316068047,0316018724,034550075X,0061374229,141659485X,039915521X,0060393491,0446579939,0399155295,1439115303,0446195502,0307264238,0345485793,0446533424,0385340990,0060548924,0441015891,0553807137
2009-01-25,0312383343,0316068047,0399155171,0399155163,0061374229,0316018724,034550075X,0060393491,0805087729,0385340990,0441015891,039915521X,0307264238,141659485X,0446195502,0446579939,0399155295,0307269752,0446533424,1439115303
2009-02-01,0312383343,0316068047,0399155171,0399155473,0061374229,0399155163,0316018724,0385340990,034550075X,0060393491,0670020486,0441015891,0805087729,0316032220,0307264238,0446579939,0446195502,039915521X,0399155295,0307269752
2009-02-08,0312383343,0316068047,0061374229,0061578916,0399155171,0399155163,0399155473,0385340990,0316018724,0060393491,0670020486,0441015891,0316032220,034550075X,0307264238,0446195502,0446579939,0805087729,0525950966,1416545182
2009-02-15,0385517831,0316068047,0061374229,0312383343,0061351504,0345501551,0061578916,0399155171,0385340990,0399155503,0767926277,0399155163,0316018724,0399155473,0060393491,0441015891,0670020486,0805087729,0553807099,0061432660
2009-02-22,0385517831,0316018740,0441016766,0316068047,0312364105,0061374229,0312383343,0385340990,0061257052,0061578916,0061351504,0399155171,0399155503,0399155163,0767926277,0441015891,0399155473,0316018724,0345501551,0446510300
2009-03-01,0385517831,0316018740,0316068047,0060590319,0441016766,0312364105,0061374229,0385340990,0312383343,0061257052,0061578916,0670020419,0399155171,0399155503,0399155163,0061351504,0441015891,0316007021,0767926277,0316018724
2009-03-08,0385517831,0316018740,030726579X,0316068047,0060590319,0385340990,1416585834,0061374229,0805082166,0312364105,0670020419,0441016766,0061257052,0385524927,0385523998,0312383343,0375414495,0316007021,0312343558,0061578916
2009-03-15,0399155481,0385517831,0061138010,0739328248,0316018740,0399155414,030726579X,0316068047,0385515510,0385340990,0060590319,0758210221,0061374229,006124340X,0441016766,0312364105,1416585834,0670020419,0385524927,0061257052
2009-03-22,0743296419,0385517831,0399155481,0316018740,0739328248,0316068047,0399155414,030726579X,0061138010,0385340990,0385515510,1416591478,1427206039,0060590319,0061143448,0061374229,0312364105,0758210221,0441016766,0451462548
2009-03-29,0743296419,0399155392,0385517831,0316068047,0316018740,0399155481,0399155406,030726579X,0739328248,0399155414,0385340990,0061138010,1427206039,0385515510,0060590319,0399155341,0061143448,0345505085,0312364105,1416591478
2009-04-05,0743296419,0399155392,0385517831,0316068047,0316018740,0399155481,0385340990,030726579X,0739328248,0399155406,0399155414,0061138010,0385515510,0399155341,0345505336,1427206039,0061128899,0060590319,0312369727,0061374229
2009-04-12,0345495144,0743296419,0345509064,0385517831,0316068047,0399155392,0316018740,0399155422,0385340990,034546933X,030726579X,1594488584,0399155481,0399155414,0399155406,0345505336,0399155341,0739328248,1427206039,0061138010
2009-04-19,0525951059,0316068047,0743296419,0385517831,0345495144,0399155392,0743437209,0758211848,0312351666,1416533168,0345509064,0316018740,0385340990,0399155422,0399155341,0061468363,0765317583,030726579X,0399155481,1594488584
2009-04-26,0451462564,1416570861,0525951059,0316068047,0061348139,0385517831,0399155694,0743296419,1416562176,0345495144,0743437209,0399155392,0385340990,1416597883,0345509064,0758211848,0316018740,0765317583,0399155341,0312351666
2009-05-03,1416570861,0312380720,0451462564,0525951059,0316068047,0385517831,0743296419,0061348139,0385340990,1599951959,0765317583,0312385188,0307346528,0399155341,0345495144,1416562176,0399155694,0399155392,0553805134,0758211848
2009-05-10,044654695X,0375424490,0399155783,1416570861,0399155805,0316068047,0312380720,0312368119,0525951059,0451462564,0385517831,0743296419,0399155341,0385340990,0061348139,1416550771,1565125967,0399155694,0765317583,1599951959
2009-05-17,0316018767,0451228574,044654695X,0778326438,0375424490,1416570861,0399155783,0316068047,0553804545,0312380720,0399155341,0399155805,0525951059,1400065119,0385340990,0743296419,0451462564,0312368119,0758212720,0385517831
2009-05-24,0441017150,0316018767,0385526342,044654695X,0375424490,1416570861,0778326438,0316068047,0451228574,0547273428,0399155716,0399155341,0399155783,0385517831,0743296419,0312380720,1439138311,0399155805,1400065119,0451462564
2009-05-31,0399155678,0446580295,0441017150,0316018767,044654695X,0385526342,0316068047,0375424490,0312567243,0312359322,1416570861,0778326438,0061733148,0451228574,0399155783,0399155716,1594202176,0399155341,0547273428,1439138311
2009-06-07,0739328460,0399155678,0316018767,0441017150,0446580295,044654695X,0316068047,0385526342,0525950974,0385341059,0399155341,0375424490,0312567243,0061733148,1416570861,0451228574,0312359322,0778326438,0385517831,0399155783
2009-06-14,0316166308,0739328460,0399155678,1400067111,0316018767,0441017150,0446580295,044654695X,0316068047,0385526342,0399155341,0373773781,0375424490,0525950974,0312567243,0061733148,0451228574,0385341059,0385517831,0312359322
2009-06-21,0425227723,0399155651,0316166308,1400067111,0385340273,0739328460,0441017150,0316018767,0061558230,0399155678,0316068047,044654695X,0446580295,0425227731,0399155341,0385526342,0307271560,0061733148,0307393860,0373773781
2009-06-28,0553807145,1401340903,0446539821,0316166308,0399155651,0425227723,1400067111,1416549994,0739328460,0385340273,0316018767,0441017150,0316068047,0399155678,044654695X,0399155341,0061558230,0446580295,0385526342,0307393860
2009-07-05,0399155848,0446539821,0385528701,0553807145,1401340903,0316166308,0399155651,1400067111,0553807234,0739328460,0425227723,044654695X,0441017150,0670020869,0399155341,0316018767,0316068047,1416549994,0385340273,141659888X
2009-07-12,0312383282,0061231401,0399155848,0345509129,0385528701,0446539821,0553807145,1401340903,1400067111,0399155651,0316166308,0399155341,0060837381,0441017150,0316068047,0553807234,0316018767,0425227723,044654695X,0385340273
2009-07-19,0316018775,0312383282,1416586571,0399155848,0061231401,1400067111,0446539821,0385528701,0399155341,1401340903,0553807145,0525950923,0441017150,0061438456,0316166308,0316068047,0060837381,0345509129,0553807234,0399155651
2009-07-26,0399155872,0316018775,0312383282,0743292510,1416586571,0345486560,0061231401,0399155341,0061438456,0316043908,0765315033,1400067111,0385528701,0399155848,1401340903,0441017150,0316068047,0525950923,0060175311,0446539821
2009-08-02,0743294297,0316018775,0399155872,0312383282,0399155341,1439128243,0061231401,0743292510,1416586571,0061230901,0316043908,0441017150,1400067111,0385341962,0061438456,0345486560,1401340903,0316068047,0446539821,0399155848
2009-08-09,0399155686,0743294297,0316018775,0385342020,0399155341,0399155872,0312383282,0061239224,0743292510,1439128243,0441017150,1416586571,0061231401,0385528701,1400067111,0316068047,0312368038,0316043908,0061230901,1401340903
2009-08-16,0307269981,0399155686,0743294297,0399155341,0316018775,0385342020,0345501578,0399155872,0312383282,0061239224,0441017150,0316068047,0743292510,1400067111,1439128243,1416586571,0061231401,0385528701,0061438456,0061230901
