ISBN,Author,Publisher,Publish Date
1400066247,Random House,"July 1, 2008",Roger Crowley
0470289066,Wiley,2008,Don Felder
0060884592,Harper,2008,Simon Winchester
0312561032,St. Martin's Griffin,"June 23, 2009",Jason Peter
1416598065,Pocket Books,2008,Jerome R. Corsi
0307269191,Alfred A. Knopf,2008,春樹 村上
0061256684,Ecco,2008,Steve Dublanica
0307264785,Alfred A. Knopf,2008,Tom Vanderbilt
0767929446,Anchor,"April 7, 2009",Nancy Pelosi
1439153361,Simon Spotlight Entertainment,2009,Randy Couture
0061430625,HarperCollins,2008,Ron Suskind
1596985666,Regnery Pub.,2008,"Freddoso, David"
0805079882,Metropolitan Books,2008,Thomas Frank
0805088156,Metropolitan Books,2008,Andrew J. Bacevich
1416541527,Simon & Schuster,"September 2, 2008",David Carr
0061245585,William Morrow,"June 24, 2008",Jim Marrs
0060598670,Harper,"August 5, 2008",Noah Andre Trudeau
1594201757,"Penguin Press HC, The","July 31, 2008",Philip Delves Broughton
1400067014,Random House,2008,Francis J. West
0316066214,"Little, Brown and Company","August 25, 2008",Robin Gaby Fisher
0061147761,HarperCollins Publishers,2008,Harold G. Moore
0393058468,W. W. Norton,"August 18, 2008",Sarah Lyall
0060781009,Harper,"August 5, 2008",Simon Baatz
1592403778,Penguin Group,2008,Stephen Davis
0307395774,Crown Business,"September 9, 2008",T. Boone Pickens
0979047080,Tindale House Publishers,2008,Kaylene Johnson
0743266242,Simon & Schuster,"May 6, 2008",Helene Cooper
0374166854,"Farrar, Straus and Giroux",2008,Thomas L. Friedman
1416558977,Simon & Schuster,2008,Bob Woodward
1416551735,Free Press,"August 19, 2008",Stacey O'Brien
1596985585,Regnery Pub.,2008,Chuck Norris
0307381285,Crown Publishers,2008,Peg Tyre
0670020346,Viking,2008,David Servan-Schreiber
0345500717,Ballantine Books,2008,Cheryl Jarvis
0743294580,Simon & Schuster,"September 9, 2008",Jennet Conant
1594201862,Penguin Press,2008,Barton Gellman
1595551565,Thomas Nelson,2008,Lynne Spears
0061256803,Harper,2008,Jeff Pearlman
0307266397,Alfred A. Knopf,2008,Dexter Filkins
0446407410,Grand Central Pub.,2008,Vicki Myron
1594489963,Riverhead Books,2008,Kathleen Norris
0553805096,Bantam,"June 2, 2008",Alice Schroeder
0767928822,Broadway Books,2008,Bill O'Reilly
0061373311,HarperEntertainment,2008,Robert Wagner
1400066123,Random House,2008,Maya Angelou
1416554440,Atria Books,2008,Prince.
0525950699,Dutton,2008,Jenny McCarthy
0670019070,Viking Adult,"April 15, 2008",Kevin Phillips
0307408647,Crown Publishers,2008,Robert Baer
0060763264,Amistad,2008,Diahann Carroll
0345507010,Ballantine Books,2009,Alonzo Mourning
0312384394,St. Martin's Press,2008,Dalton Fury
1594489998,Riverhead Books,2008,Sarah Vowell
1596985550,Regnery Pub.,2008,Ted Nugent
0061650757,HarperOne,2008,Van Jones
1594201919,Penguin Press,2008,James M. McPherson
0446539724,Grand Central Pub.,2007,Bret Hart
0061490148,William Morrow,2008,Maureen McCormick
0310289025,Zondervan,2008,Jon Gosselin
0385521324,Doubleday,2008,James Bamford
0307408493,Harmony,"April 22, 2008",Peter Golenbock
0316024759,"Little, Brown",2008,James Patterson
0061713244,William Morrow,2008,John Grogan
052595032X,Dutton,2008,Eminem (Musician)
1599951614,Faith Words,2008,Josh Hamilton
1400063515,Random House,2007,Nassim Nicholas Taleb
006075401X,Ecco,2008,"Norman, Philip"
0385523882,Doubleday,2008,Martin Lindström
159514210X,Razorbill,2008,Mary-Kate Olsen
0316045608,Little Brown and Co.,2008,Some Random Author
1400082773,Three Rivers Press,2004,Barack Obama
0307455874,Vintage Books,2008,Barack Obama
1416587853,Simon Spotlight Entertainment,2008,Jim Norton
1600781632,Triumph Books,2008,Pete Souza
1416599436,Simon & Schuster,2008,Liza Mundy
0385526563,Spiegel & Grau,2008,Artie Lange
1400063256,Random House,2008,Jon Meacham
0446581895,Business Plus,2008,Ted Turner
0061672475,Collins,2008,Irene M. Pepperberg
0061441627,William Morrow,2008,Steve Doocy
0316017922,"Little, Brown and Company",2008,Some Random Author
1595230548,Sentinel,2008,Mike Huckabee
0670031607,Viking,2008,Denis Leary
0375505105,Random House,2008,Annie Leibovitz
0307394069,Crown Forum,2008,Michael Medved
1594201927,Penguin Press,2008,Niall Ferguson
0393065146,W. W. Norton & Company,2009,Michael Lewis
1400068282,Random House,2008,Calvin Trillin
1439102252,Simon & Schuster,2008,Carrie Fisher
0393071014,New York,2009,Paul R. Krugman
1579127495,Black Dog & Leventhal,"Nov 01, 2008",The New York Times
1439130728,Free Press,2008,Michael Phelps
160320072X,Time Book,2008,Callie Shell
0316035904,"Little, Brown and Company",2008,David Sedaris
030735346X,Crown Forum,2008,Ann H. Coulter
0151014892,Houghton Mifflin Harcourt,2009,Temple Grandin
0307407926,Harmony Books,2009,David E. Sanger
0061125350,Harper,"January 6, 2009",Michael Korda
0061456217,W. Morrow,2009,Christopher Kennedy Lawford
038552501X,Doubleday,2009,Gwen Ifill
1400064996,Random House Pub. Group,2009,Ronald C. White
1596980907,Regnery,2009,Bernard Goldberg
038551705X,Doubleday,2009,George Friedman
1439140634,Simon & Schuster,2009,Jimmy Carter
1594201994,Penguin Press,2008,Bryan Burrough
0385527403,Doubleday,2009,Joe Torre
0143116428,Penguin Books,2009,Barack Obama
1401322859,Hyperion Books,2009,Amy Dickinson
1594201978,The Penguin Press,2009,Thomas E. Ricks
0307405850,Crown,2009,Jay Dobyns
1596985879,Regnery Pub.,2009,Thomas E. Woods
0618620117,Houghton Mifflin Harcourt,2009,Jonah Lehrer
1594488932,New York Times,2009,Jill Abramson
159420182X,Penguin Press,2009,Liaquat Ahamed
0385513534,Doubleday,2009,David Grann
0061769525,William Morrow,2009,Marc Gonsalves
1439138176,Simon & Schuster,2009,Peter Canellos
0061173932,HarperCollins e-books,2009,Bart D. Ehrman
0385528264,Doubleday,"March 10, 2009",William D. Cohan
0061730416,Collins,2009,Russell Brand
1594202028,Penguin,2009,Craig M. Mullaney
1414319312,"Tyndale House Publishers, Inc.",2009,Joel C. Rosenberg
1400067731,Random House,2009,Donovan Campbell
0312376537,St. Martin's Press,2009,Jennifer Thompson-Cannino
1416562850,Threshold Editions,March 2009,Mark R. Levin
1439110077,Scribner,2009,Isabel Gillies
1416936017,Simon Spotlight Entertainment,2008,Heather B. Armstrong
0805088105,Henry Holt,2009,Seth Davis
1401303382,Hyperion,2009,"Fox, Michael J."
0312376316,St. Martin's Press,2009,Mary Tyler Moore
0312377452,St. Martin's Press,2008,Leslie Morgan Steiner
0451226380,New American Library,2009,Marie Osmond
0316118087,"Little, Brown and Company",2009,Joshua Cooper Ramo
0446546933,Twelve,2009,David Cullen
0758229631,Kensington Books,2009,Cloris Leachman
0743294114,Scribner,"April 8, 2008",Bruce Weber
141659910X,Simon Spotlight Entertainment,2009,Tori Spelling
0345512065,Ballantine Books,2009,Kathie Lee Gifford
1416580557,Simon & Schuster,2009,Kristin Chenoweth
1599951355,Center Street,2009,Bob Barker
0316008230,"Little, Brown and Co.",2009,Rupert Isaacson
1439102856,Simon Spotlight Entertainment,2009,Marlee Matlin
1592404456,Gotham Books,2009,Jeffrey Zaslow
1594202168,Penguin Press,2009,Ruth Reichl
1583333304,Avery,2009,Monica Seles
1605297852,Rodale,2009,David A. Kessler
0446540943,Twelve,2009,Christopher Buckley
076793136X,Broadway Books,2009,Elizabeth Edwards
0451226801,New American Library,2009,Jen Lancaster
0061791644,Harper,2009,Selena Roberts
0307353753,Harmony Books,2009,Shawn Levy
0061766143,HarperCollins,2009,"Russell, Bill"
0385527934,Broadway Books,2009,Ayelet Waldman
1416580514,Scribner,2009,Doug Stanton
1591842735,Viking,2009,Kate Kelly
141659857X,Free Press,2009,Gillian Tett
0061778141,HarperOne,2009,James Van Praagh
1602860866,Weinstein Books,"May 19, 2009",Larry King
1439149380,Simon & Schuster,2009,Some Random Author
0307266303,Alfred A. Knopf,2010 08,Christopher McDougall
0977326411,Jim Collins,2009,Jim Collins
0465018807,Basic Books,2009,Thomas Sowell
0316070084,"Little, Brown and Co.",2009,Colin Tudge
0307463125,Crown Publishers,2009,Richard Wolffe
039306901X,Norton,2009,Michael Lewis
1594202230,"Penguin USA, Inc.",2009,Matthew B. Crawford
1416599142,Simon Spotlight Entertainment,2009,Melissa Gilbert
0307463699,Crown,2009,Joe Scarborough
0446509337,Grand Central Pub.,2009,Bruce Leininger
1400066514,Random House,2009,Larry Tye
1401322557,Hyperion,2009,Julie Metz
0061766720,Ecco,2009,Norman Ollestad
0316049107,"Little, Brown, and Co.",2009,Rocco Mediate
0374272603,"Farrar, Straus, and Giroux",2009,"Norman, Michael"
006177104X,Harper,2009,Dick Morris
0307463451,Harmony Books,2009,Some Random Author
0470474238,John Wiley & Sons,2009,David Faber
0316734918,"Little, Brown",2009,"Wright, Robert"
1414334060,"Tyndale House Publishers, Inc.",2009,Kurt Warner
1401322905,Hyperion,"July 7, 2009",Chris Anderson
1439177171,Simon Spotlight Entertainment,2009,Ian Halperin
0385529376,Doubleday,2009,Ben Mezrich
1416556249,Atria Books,2009,C. David Heymann
030740787X,Crown Books,2009,Grant Wahl
0670021032,Viking,2009,Craig Nelson
0307588335,Crown Business,2009,Lawrence G. McDonald
1596916508,Bloomsbury,2009,Nick Reding
1596981091,Regnery Pub.,2009,Michelle Malkin
0060565284,Harpercollins,Date 0,Douglas Brinkley
0375422226,Pantheon Books,2009,"Holmes, Richard"
0757313728,Health Communications,2009,Mary Jo Buttafuoco
0307461351,Crown,"August 4, 2009",Ronald Kessler
0385527721,Doubleday,2009,Carl A. Anderson
0307459683,Crown Business,2009,David Wessel
0670021113,Viking,2009,Daniel J. Balz
1603201300,Life Books,2009,"Sullivan, Robert"
1934781630,McSweeney's Books,2009,Dave Eggers
0061691399,HarperOne,2009,Jeffrey Marx
0767922468,Broadway,"August 11, 2009",Some Random Author
1594202346,Penguin Press,2009,T. R. Reid
1401323529,Hyperion,2009,Dean Ray Koontz
0446580821,Grand Central Pub.,2009,J. Randy Taraborrelli
1400066212,Random House,2009,Tracy Kidder
038534385X,Delacorte Press,2009,Gwen Cooper
1594202311,Penguin Press,2009,Frank Bruni
0446504122,Twelve,2009,Po Bronson
0446579483,Grand Central Pub.,2009,David Cross
0345518519,Ballantine Books,2009,Kathy Griffin
0307267148,Alfred A. Knopf,2009,Nicholas D. Kristof
0670021202,Viking,2009,Sue Monk Kidd
159420232X,Penguin Press,2009,LeBron James
1400066328,Random House,2009,Deborah Tannen
1568583982,Nation Books,2009,Max Blumenthal
1594630666,Hudson Street Press,2009,Andrew Weil
0446539252,Twelve,"September 14, 2009",Edward M. Kennedy
0385522266,Doubleday,"September 15, 2009",Some Random Author
1416583408,Scribner,2009,Alexandra Horowitz
0061582565,William Morrow,2009,Joe Posnanski
1416595015,Threshold Editions,2009,Glenn Beck
143915385X,Simon Spotlight Entertainment,2009,Mackenzie Phillips
0061719544,Harper,"September 22, 2009",Craig Ferguson
1416594787,Free Press,2009,Richard Dawkins
0307269183,Knopf,2009,Karen Armstrong
1401322816,Hyperion,2009,Frank I. Luntz
0307268969,Alfred A. Knopf,2009,Dayton Duncan
0786868724,Hyperion,"September 29, 2009",Mitch Albom
1439158584,Atria Books,2009,Patrick Swayze
0316034045,"Little, Brown and Co.",2009,James Patterson
1416543333,Simon & Schuster,2009,Taylor Branch
1439154503,Pocket Books,2009,Victoria Gotti
1593156022,Vanguard Press,2009,Shmuel Boteach
0060899182,Harper,2009,Madeleine Korbel Albright
0061730327,William Morrow,2009,William Kamkwamba and Bryan Mealer
0061924687,William Morrow,2009,Chesley Sullenberger
0307716988,Harmony Books,2009,"Jackson, Michael"
1439154775,Threshold Editions,2009,Jerome R. Corsi
0374180652,"Farrar, Straus and Giroux",2009,Michael J. Sandel
0374165734,"Farrar, Straus and Giroux",2009,David Finkel
0060889578,William Morrow,2009,Steven D. Levitt
0316075841,"Little, Brown and Company",2009,Malcolm Gladwell
0670021253,Viking,2009,Andrew Ross Sorkin
1416544208,Scribner,2009,Chuck Klosterman
0446546267,Grand Central Pub.,2009,Clarence Clemons
0316059544,"Little, Brown and Co",2009,Gail Collins
0618968415,Houghton Mifflin Harcourt,2009,Timothy Egan
0805087494,Metropolitan Books,2009,Barbara Ehrenreich
0307263436,Hutchinson,2009,John Keegan
034551176X,Ballantine/ESPN Books,2009,Bill Simmons
0312588895,St. Martin's Press,2009,Hulk Hogan
0312341911,St. Martin's Press,2009,Augusten Burroughs
1400043042,Alfred A. Knopf,2009,William Shawcross
073821356X,Da Capo Press,2009,Cami Walker
0670021334,Viking,2009,David Plouffe
0061697168,Harper Business,2009,Charles Gasparino
0547225474,Houghton Mifflin Harcourt,2009,"Bird, Larry"
0316069906,"Little, Brown and Co",2009,Jonathan Safran Foer
0061864153,Collins Design,"November 3, 2009",Some Random Author
1596980990,Regnery Pub.,2009,Dinesh D'Souza
1595230629,Sentinel,2009,Mike Huckabee
0307268195,A. Knopf,2009,Andre Agassi
1439172951,Free Press,2009,George Carlin
1565129598,Algonquin Books of Chapel Hill,2009,Roy Williams
0061939897,HarperCollins,"November 17, 2009",Sarah Palin
0316008958,"Little, Brown and Co.",2009,"Bradley, James"
0060574887,William Morrow,2009,Bruce S. Feiler
0393065677,Philemon Foundation and W. W. Norton & Co.,2009,Some Random Author
0670021156,Viking,2009,Greg Mortenson
1426205031,Focal Point,2009,National Geographic Society (U.S.)
1439173141,Simon & Schuster,2009,Lance Armstrong
044654146X,Twelve,2009,Dan Senor
1594488843,Riverhead Books,2009,Daniel H. Pink
0060596988,Harper,2009,Mary Karr
0670021652,Viking,2010,Elizabeth Gilbert
0805091742,Metropolitan Books,2010,Atul Gawande
0670021644,Viking,2010,David Servan-Schreiber
1602861110,Weinstein Books,2009,Mika Brzezinski
0345453212,Ballantine Books,2010,Alison Weir
0061733636,Harper,"January 11, 2010",John Heilemann
0743246586,Simon & Schuster,2010,Peter Biskind
006621131X,Ecco,2010,Patti Smith
046501948X,Basic Books,2009,Thomas Sowell
0061452556,HarperOne,2010,"Long, Jeffrey M.D."
0393075966,W.W. Norton & Co.,2010,Joseph E. Stiglitz
1400068606,Random House,2009,"Walker, David M."
0446569895,Grand Central Pub.,2010,Ozzy Osbourne
031264065X,Thomas Dunne Books,"January 30, 2010",Andrew Young
1596986034,Regnery Pub.,2010,Marc A. Thiessen
0446561932,Business Plus,"February 1, 2010",Henry M. Paulson
1400052173,Crown Publishers,2009,Rebecca Skloot
0345522397,Ballantine Books,"February 5, 2010",Jenny Sanford
1401323235,Hyperion,2010,David Dosa
0307453375,Crown,2009,Scott Patterson
1416547908,Scribner,2010,James S. Hirsch
0525951512,Dutton,2010,Lori Gottlieb
0307463575,Harmony Books,2010,Daniel G. Amen
006182593X,Ecco,2010,Roger Rosenblatt
0312609809,St. Martin's Press,2010,Mitt Romney
1401341241,Hyperion/VOICE,2009,Kelly Corrigan
0061993999,W. Morrow,2010,Nick Schuyler
0470553731,Wiley,2010,Harry Markopolos
045123023X,New American Library,2010,Hugh Ambrose
1414333072,SaltRiver,2010,Mosab Hassan Yousef
0446552445,Grand Central Pub.,2010,Chelsea Handler
1439191050,Threshold Editions,"March 9, 2010",Karl Rove
160239802X,Skyhorse Pub.,2010,Jesse Ventura
1595552669,T. Nelson,2010,Andrew P. Napolitano
0767929829,Broadway Books,2010,Frances Mayes
0393072231,W.W. Norton,2010,Michael Lewis
1401323715,Hyperion,2010,Duane Chapman
0061930938,HarperOne,2010,Kelly Cutrone
0470540869,John Wiley & Sons,2010,Vicky Ward
0465014917,Basic Books,2009,Diane Ravitch
1591843456,Portfolio,2010,Steve Poizner
0307379051,Pantheon Books,2010,Simon Johnson
1439172072,"Threshold Editions, Simon & Schuster",2010,Jason Mattera
0061986836,William Morrow,2010,Shonda Schilling
1400043603,Alfred A. Knopf,2010,David Remnick
0307461181,Harmony Books,2010,Carol Burnett
0670021261,Viking,2010,Diarmaid MacCulloch
1594202397,Penguin Press,2010,Roger Lowenstein
0399156658,Amy Einhorn Books/G. P. Putnam's Sons,2010,Laura Munson
0307394867,Crown,"April 13, 2010",Kitty Kelley
0061988448,Blank Publisher,Date 0,Some Random Author
0446548154,Twelve,2010,Jerry Weintraub
0310318963,Zondervan,2010,Kate Gosselin
0061856436,Harper,2010,Sarah Silverman
0061962236,Ecco,2010,Richard A. Clarke
0385528191,Spiegel & Grau,2010,Wes Moore
0385523920,Doubleday,2010,Hampton Sides
1439155208,Scribner,2010,Laura Welch Bush
1594202613,Penguin Press,2010,David Isay
0670021725,Viking,2010,Some Random Author
0061992704,!t,2010,Justin Halpern
045122986X,New American Library,2010,Jen Lancaster
039915650X,G. P. Putnam's Sons,2010,Dave Barry
0446548502,Springboard Press,2010,Pam Grier
0446556246,Twelve,2010,Sebastian Junger
0061690317,Harper,2010,Some Random Author
1594202508,Penguin Press,2010,Nouriel Roubini
0307453278,Harmony Books,2010,Ben Macintyre
1439101191,Simon & Schuster,"May 18, 2010",Jonathan Alter
1596985968,Regnery,2010,Newt Gingrich
0062000675,William Morrow,2010,Laura Ling
1935071874,WND Books,2010,Brenda J. Elliott
0743277023,Scribner,2010,Daniel Okrent
1595230637,Sentinel,2010,Zeʼev Chafets
0446540331,Twelve,2010,Christopher Hitchens
0061995037,Harper,2010,Dan Ariely
0451230183,New American Library,2010,David Archuleta
1594033773,Encounter Books,2010,Andrew C. McCarthy
0061718947,Ecco,"June 8, 2010",Anthony Bourdain
1439102112,Simon & Schuster,2010,David Kirkpatrick
1439187711,Simon & Schuster,2010,Tori Spelling
006156284X,Harper,2010,Sam Kashner
1416591052,Scribner,2010,S. C. Gwynne
1595230645,Sentinel,2010,Larry Schweikart
0451232615,New American Library,2010,Sean Payton
0061970689,William Morrow,2010,Jim Marrs
1414339437,Tyndale,2010,Drew Brees
1439180911,Gallery,"July 6, 2010",1439180911
0061774154,HarperStudio,2010,Sam Wasson
0316054674,"Little, Brown and Co.",2010,Bill Clegg
1439197512,Threshold Editions,2010,Laura Ingraham
0805093389,Henry Holt,2010,Leigh Anne Tuohy
0316051640,"Little, Brown and Co.",2010,Sam Kean
0061917117,It Books,2010,Steven Adler
031255561X,St. Martin's Press,2010,Andrew Norton
0393068471,Norton,2010,Mary Roach
1594202567,Penguin Press,2010,Paul Greenberg
0061714372,It Books,2010,Dave Mustaine
1592401422,Gotham Books,2010,Mike Capuzzo
1400067383,Random House,2010,Gail Caldwell
0670021962,Viking,2010,Some Random Author
0307408388,Crown Publishers,2010,Harold Ford
1596986247,Regnery Pub.,2010,David Limbaugh
0374273189,"Farrar, Straus and Giroux",2010,Eliza Griswold
1414336063,Tyndale House,2010,Kevin Malarkey
0307268934,Alfred A. Knopf,2010,John Vaillant
0307269833,Knopf,2010,Tony Blair
0061845450,Harper,2010,John Brenkus
0800719913,Revell,2010,Mary Beth Chapman
0865476810,"Farrar, Straus and Giroux",2010,Some Random Author
1439195978,Howard,2010,Bobby Bowden
0553805371,Bantam,2010,Stephen W. Hawking
0679444327,Random House,2010,Isabel Wilkerson
0385529880,Doubleday,2010,Sean Wilentz
0805091416,Metropolitan Books,2010,Andrew J. Bacevich
0061950718,William Morrow,2010,Bill O'Reilly
0307718123,Random House Inc,2010,Nancy G. Brinker
0767928849,Doubleday,2010,"Casey, Susan"
0307269914,Knopf,2010,Stephen G. Breyer
0307719820,Crown,2010,"Huffington, Arianna Stassinopoulos"
0446563374,FaithWords,2010,Jill Kelly
044657922X,Grand Central Publishing,2010,Jon Stewart
0374280991,"Farrar, Straus and Giroux","September 20, 2010",Jimmy Carter
1594202656,Penguin Press,2010,Ingrid Betancourt
1592405509,Gotham Books,2010,Jim Gorant
0307592812,Alfred A. Knopf,2010,Robert B. Reich
1439172498,Simon & Schuster,2010,Bob Woodward
1416938745,Gallery Books,2010,Tucker Max
1596986255,Regnery Pub.,2010,Dinesh D'Souza
031260369X,Thomas Dunne Books,2010,Anthony Shaffer
140132391X,Hyperion,"September 28, 2010",Marlo Thomas
0061233781,William Morrow,September 2010,James L. Swanson
0062010972,Morrow,2010,Michael Savage
0767919386,Doubleday,2010,Bill Bryson
1594202664,The Penguin Press,2010,Ron Chernow
1439171211,Free Press,"October 5, 2010",Sam Harris
1401323847,Hyperion,2010,Whoopi Goldberg
0061956937,Harper,2010,Daniel Hannan
0060883529,Harper,2010,Jane Leavy
0307587878,Crown Archetype,2010,Condoleezza Rice
0374128952,FSG,2010,Nelson Mandela
1439191158,Touchstone,2010,Rick Springfield
0374158355,FSG,2010,Marilyn Monroe
1416544607,Free Press,2010,Ann Rule
0525951865,Dutton,2010,Vicki Myron
0446546313,Grand Central Pub.,2010,Larry Levin
0520267192,University of California Press,2010,Mark Twain
143918948X,Simon & Schuster,2010,Hoda Kotb
031603438X,"Little, Brown and Co.",2010,Keith Richards
1439187193,Threshold Editions/Mercury Radio Arts,2010,Glenn Beck
0679439072,Knopf,2010,Stephen Sondheim
1594487766,Riverhead Books,2010,Julie Klam
0307269620,Knopf,2010,Joseph J. Ellis
1439177783,Atria,2010,Portia de Rossi
0451234154,Celebra,2010,Ricky Martin
1400069556,Spiegel & Grau,2010,Gary Dell'Abate
0307717372,Crown Archetype,2010,Adam Carolla
0316001929,"Little, Brown and Co.",2010,Stacy Schiff
0385529953,Spiegel & Grau,2010,Matt Taibbi
0307590615,Crown,2010,George W. Bush
0307595609,Knopf,2010,Nora Ephron
1400064163,Random House,2010,Laura Hillenbrand
1400068924,Spiegel & Grau,2010,Jay-Z
1591843634,Portfolio,2010,Bethany McLean
1439107955,Scribner,2010 November,Siddhartha Mukherjee
0062010964,HarperCollins,2010,Sarah Palin
0375504877,Random House,2010,Edmund Morris
1439192960,Gallery Books,2010,Gerald Blaine
1400060605,Random House,2010,Jennifer Homans
1439149089,Scribner,2011,Patton Oswalt
0374236445,"Farrar, Straus and Giroux",2011,Claire Dederer
1594202842,The Penguin Press,2011,Amy Chua
1439183317,Free Press,2011,Some Random Author
0743278933,Free Press,2011,Peter L. Bergen
0670022594,Viking Adult,January 2011,Some Random Author
0385532946,Doubleday,2011,George Friedman
0307265633,Knopf,2011,Brian Greene
055380670X,Bantam,2011,James D. Hornfischer
0061711527,HarperCollins,2011,Peggy Orenstein
1400069513,Random House,2010,Kenneth Slawenski
0061997161,William Morrow,2011,Ree Drummond
1401324312,Hyperion,2011,Michael Waltrip
0307591794,Crown Archetype,2011,Tobias J. Moskowitz
159523067X,Sentinel HC,"February 8, 2011",Donald Rumsfeld
1592406122,Gotham,"February 8, 2011",Michael Oher
0374173257,"Farrar, Straus and Giroux",2011,Dambisa Moyo
0446538159,Grand Central Pub.,2011,Chris Jericho
0062015532,Ecco,2011,Joyce Carol Oates
1416567445,Free Press,2011,Douglas C. Waller
0062015540,Harper,"February 22, 2011",Scott Brown
0525952101,Dutton,"February 22, 2011",Timothy J. Keller
140006872X,Random House,2010,Gabrielle Hamilton
0307719308,Crown Archetype,2011,Meredith Baxter
0393064662,W. W. Norton & Co.,2011,Andre Dubus III
1605292796,Rodale,2012,Dean Karnazes
1400068738,Random House,2011,Francis J. West
0375423729,Pantheon Books,2011,James Gleick
159420229X,Penguin,2011,Joshua Foer
140006760X,Random House,2011,"Brooks, David"
1595230734,Sentinel,22 February 2011,Mike Huckabee
1586175009,Ignatius Press,2011,Pope Benedict XVI
0307588149,Crown Publishers,2011,Robert Baer
0062009281,It,2011,Sammy Hagar
0385530803,Doubleday,"March 15, 2011",Michio Kaku
080509346X,Henry Holt,2011,Del Quentin Wilber
0307717720,Broadway Books,2011,"Calabrese, Frank Jr"
1603201777,Sports Illustrated Books,2011,Kostya Kennedy
1118004574,John Wiley,2011,Some Random Author
1594487871,Riverhead Books,2011,Sarah Vowell
0061732370,Harper,2011,Gayle Tzemach Lemmon
0670022713,Viking,2011,Geneen Roth
0525952330,Dutton,2011,Dan Savage
1605292885,Rodale,"march 29, 2011",Howard Schultz
0062061844,"itbooks, an imprint of HarperCollins",2011,Susan Lucci
0385523173,Speigel & Grau,2011,Christina Haag
0062012614,HarperOne,2011,Bart D. Ehrman
0316056863,Reagan Arthur Books,2011,Tina Fey
0670022209,Viking,2011,Manning Marable
1616082267,Skyhorse,"April 4, 2011",Jesse Ventura
034552361X,Ballantine Books,2011,Ashley Judd
0061969788,William Morrow,"April 12, 2011",Some Random Author
0307886948,Crown Archetype,2011,Barbara Eden
1451607296,Atria,"April 5, 2011",Shirley MacLaine
1401341454,Voice,2011,Caroline Kennedy
0374227349,"Farrar, Straus and Giroux",2011,Francis Fukuyama
038552384X,Doubleday,2011,William D. Cohan
145550145X,Grand Central Pub.,2011,Ron Paul
1591843820,Portfolio/Penguin,2011,Paul Allen
0446572829,Grand Central,2011,Andrew Breitbart
080509329X,Henry Holt,"April 26, 2011",Rob Lowe
1605290750,Rodale,2011,Darell Hammond
0805091343,Times Books/Henry Holt and Company,2011,Diana B. Henriques
1400040159,Alfred A. Knopf,2011,Adam Goodheart
0765326396,Forge,2011,Howie Carr
1594202699,Penguin Press,2011,"Stewart, James B."
0061767891,Ecco,"June 15, 2010",Steven Tyler
0399157530,Penguin,2011,"White, Betty"
1451620748,Atria Books,2011,Shania Twain
1594487979,Riverhead Books,2011,Janny Scott
054742485X,Houghton Mifflin,2011,Eric Greitens
0307592235,Crown Archetype,2011,Dick Van Dyke
0385534442,Doubleday,2011,Rex Ryan
0307267105,Knopf,2011,Jennifer Grant
1401324290,Hyperion,2011,Luis Carlos Montalván
0061988340,HarperCollins,2011,Mitchell Zuckoff
1451627858,Gallery Books,2011,Jesse James
0446584711,Grand Central Pub.,2011,Chelsea Handler
0307408841,Crown,2011,Erik Larson
031269945X,St. Martin's Press,2011,Howard E. Wasdin
0062065130,Harper,2011,Ronald Reagan
1936488299,WND Books,2011,Jerome R. Corsi
0316132942,"Little, Brown & Co.",2011,Annie Jacobsen
1594488010,Riverhead Books,2011,Jon Ronson
1594202710,Penguin Press,2011,Henry Kissinger
0618758283,Houghton Mifflin Harcourt,2011,Adam Hochschild
0312643403,St. Martin's Press,2011,Andrew Morton
0743297164,Scribner,2011,Scott Weiland
0316043001,"Little, Brown and Co.",2011,"Miller, James A."
1416571760,Simon & Schuster,2011,David McCullough
1451654405,Howard Books,2011,Frank Bailey
0465019447,Basic Books,2011,John Bradshaw
0062007289,HarperCollins,2011,Tim Tebow
0307377334,Pantheon Books,2011,David Eagleman
0307382338,Harmony,"November 11, 2008",Barbara Sinatra
0805091203,Times Books,"May 24, 2011",Gretchen Morgenson
1595230769,Sentinel,2011,David Mamet
0307353486,Crown Forum,"June 7, 2011",Ann Coulter
1591844002,Portfolio/Penguin,2011,Robert A. Lutz
160641951X,Shadow Mountain,2011,"Stewart, Chris"
0061228591,Harper,2011,Andrew Roberts
039308180X,W. W. Norton,2011,Fareed Zakaria
1439183813,Howard Books,2011,Michelle Duggar
037550494X,Random House,2011,Amanda Foreman
1451629184,Simon and Schuster,"July 12, 2011",Jaycee Lee Dugard
1451642040,Gallery Books,2011,Laura Ingraham
0385533926,Doubleday,2011,Ben Mezrich
1400067154,Random House,2011,John Julius Norwich
0385534183,Doubleday,2011,Joby Warrick
0307719693,Crown Publishers,Aug 2011,Tom Davis
0307265722,Knopf,2011,Charles C. Mann
1596981008,Regnery Pub.,2011,Mark Steyn
0374115583,"Farrar, Straus and Giroux",2011,Michael Holroyd
0525952241,Dutton,2011,Mark Adams
1594202958,Penguin Press,2011,S. Nassir Ghaemi
145161036X,Simon & Schuster,2011,Penn Jillette
0670022756,Viking Adult,2011,"Deutsch, David"
0316037702,"Little, Brown and Company",2011,Kevin D. Mitnick
1594202990,The Penguin Press,2011,Alexandra Fuller
1401324517,Hyperion,2011,Rafael Nadal
