ISBN,Author,Publisher,Publish Date
0446539821,Grand Central Publishing,June 2009,Eric Van Lustbader
1416549994,Simon & Schuster,June 2009,Jeffery Deaver
0399155848,G.P. Putnam's Sons,2009,Catherine Coulter
0385528701,Doubleday,2009,Carlos Ruiz Zafón
0553807234,Bantam Books,2009,Lisa Gardner
0670020869,Viking,2009,"Green, Jane"
141659888X,Pocket Books,2009,Johanna Lindsey
0312383282,St. Martin's Press,2009,Janet Evanovich
0061231401,William Morrow,2009,James Rollins
0345509129,Del Rey/Ballantine Books,2009,Christie Golden
0060837381,HarperCollins,2009,Mary Kay Andrews
0316018775,"Little, Brown and Co.",2009,James Patterson
1416586571,Atria Books,2009,Brad Thor
0525950923,Dutton,2009,John T. Lescroart
0061438456,William Morrow,"June 30, 2009",Dorothea Benton Frank
0399155872,G.P. Putnam's Sons,2009,Nora Roberts
0743292510,Scribner,2009,Greg Iles
0345486560,Ballantine Books,2009,Linda Howard
0765315033,Tor,2009,David Weber
0060175311,HarperCollins,2009,"Wells, Rebecca"
0743294297,Atria Books,2009,Jennifer Weiner
1439128243,Simon & Schuster,2009,James Lee Burke
0061230901,William Morrow,2009,Steve Martini
0385341962,Delacorte Press,2009,Karin Slaughter
0399155686,G. P. Putnam's Sons,2009,Daniel Silva
0385342020,Dial Press,2009,Sophie Kinsella
0061239224,William Morrow,2009,J. A. Jance
0312368038,St. Martin's Press,2009,Iris Johansen
0307269981,Alfred A. Knopf,2009,Stieg Larsson
0345501578,Ballantine Books,2009,Suzanne Brockmann
0375414967,Alfred A. Knopf,2009,Richard Russo
1594202249,Penguin Press,2009,Thomas Pynchon
0399155864,G. P. Putnam's Sons,2009,William E. Butterworth (W.E.B.) Griffin
0385524072,Doubleday,"August 4, 2009",Christopher Reich
0765322722,Tor,2009,Brian Herbert
0786949163,Wizards of the Coast,"July 1, 2008",Margaret Weis
038541305X,Nan A. Talese,2009,Pat Conroy
1416563083,Simon & Schuster,2009,Sandra Brown
0061702323,William Morrow,"August 11, 2009",Faye Kellerman
0399155708,G.P. Putnam's Sons,2009,Robin Cook
1416563687,Simon & Schuster,2009,Philippa Gregory
0345509188,Ballantine Books,2009,Troy Denning
0399156046,G.P. Putnam's Sons,2009,Terry Goodkind
0399155910,G.P. Putnam's Sons,2009,Dick Francis
0451462904, Roc Hardcover, 2009-08-25,S. M. Stirling
0525950575,Dutton Adult,"December 25, 2025",Eric Jerome Dickey
0425229734,Berkley Books,2009,Christine Feehan
0399156429,Blank Publisher,Date 0,Clive Cussler
1400064945,Random House,2009,E. L. Doctorow
0375409289,Alfred A. Knopf,2009,Lorrie Moore
0805087737,Henry Holt and Company,2009,Richard North Patterson
0312368488,Minotaur Books,2009,Chelsea Cain
1595542884,Thomas Nelson,2009,Ted Dekker
0446547565,Grand Central Pub.,2009,Nicholas Sparks
0385518366,Doubleday,"September 8, 2009",Jeff Lindsay
0385514301,Doubleday,2009,John Twelve Hawks
0743299841,Scribner,2009,Anita Diamant
0385504225,Doubleday,2009,Dan Brown
0385342454,Delacorte Press,2009,Diana Gabaldon
0399156011,G. P. Putnam's Sons,2009,Stuart Woods
0385528779,Nan A. Talese/Doubleday,2009,Margaret Atwood
0399155937,G.P. Putnam's Sons,2009,Sara Paretsky
0375425144,Pantheon Books,2009,Alexander McCall Smith
1439158908,Pocket Books,2009,E. Lynn Harris
0679403930,Alfred A. Knopf,2009,James Ellroy
0312377037,Minotaur Books,2009,Louise Penny
0399155988,G.P. Putnam's Sons,2009,John Sandford
1439165394,Scribner,September 2009,Bill Niffenegger
1594488878,Riverhead Books,2009,Nick Hornby
0778326896,Mira,"September 29, 2009",Susan Wiggs
0758210248,Kensington Books,2009,Joanne Fluke
0441017835,Ace Books,2009,Charlaine Harris
0399155945,G.P. Putnam's Sons,2009,Robert B. Parker
1416586288,Scribner,2009,Jeannette Walls
0786952334,Wizards of the Coast,2009,R. A. Salvatore
1439150001,Simon & Schuster,2009,Richard J. Evans
0061161705,Harper,2009,Terry Pratchett
1416595163,Atria Books,2009,Vince Flynn
0316166316,"Little, Brown and Co.",2009,Michael Connelly
1401310400,Hyperion,"July 27, 2010",Richard Castle
0345509625,LucasBooks,"October 13, 2009",Joe Schreiber
0805080686,Henry Holt and Co.,2009,Hilary Mantel
1439159661,Pocket Books,2009,Kresley Cole
1401323588,Hyperion,"October 12, 2009",Some Random Author
0399156399,G.P. Putnam's Sons,2009,Bernard Cornwell
0385340281,Delacorte Press,2009,Danielle Steel
0312368127,St. Martin's Press,2009,Iris Johansen
0312591063,Thomas Dunne Books,2009,Newt Gingrich
0765302306,Tor,2009,Robert Jordan
0446195510,Grand Central Pub.,2009,David Baldacci
1400063841,Random House,2009,John Irving
0425230155,Berkley Prime Crime,2009,Charlaine Harris
1400043530,Alfred A. Knopf,2009,Anne Rice
0385532458,Doubleday,2009,John Grisham
0399155953,G.P. Putnam's Sons,2009,J. D. Robb
0060852577,Harper,2009,Barbara Kingsolver
0345497929,Ballantine Books,2009,Jeff Shaara
1439172773,Simon & Schuster,2009,Sandra Brown
0399156380,G.P. Putnam's Sons,2009,Kate Jacobs
1439148503,Scribner,2009 November,Stephen King
0345517199,Ballantine Books,"November 10, 2009",Linda Howard
0385521383,Doubleday,2009,Edward Rutherfurd
006194100X,Harper,2009,Wally Lamb
0316018783,"Little, Brown and Company",2009,Some Random Author
0399155996,G.P. Putnam's Sons,2009,Clive Cussler
0061929379,Harper Collins Publishers,2009,Michael Crichton
0553807153,Bantam Books,2009,Dean Ray Koontz
044101769X,Ace Books,2009,Jim Butcher
039915597X,G.P. Putnam's Sons,2009,Sue Grafton
0345505476,Ballantine Books,2009,Steve Berry
0345495969,Ballantine Books,2009,Laurell K. Hamilton
0345511565,Del Rey/Ballantine Books,2009,Drew Karpyshyn
0345500776,Ballantine Books,"December 29, 2009",Julie Garwood
0399155961,G. P. Putnam's Sons,2009,Jayne Ann Krentz
039915566X,G. P. Putnam's Sons,2009,William E. Butterworth (W.E.B.) Griffin
052595130X,Blank Publisher,Date 0,Tami Hoag
0061231428,William Morrow,2010,James Rollins
1416565159,Simon & Schuster,2009,Stephen Hunter
1439107947,Atria Books,2009,Jude Deveraux
0307272400,Alfred A. Knopf,2009,Anne Tyler
0765317680,Forge Books,"January 5, 2010",Douglas J. Preston
0385524986,Doubleday,2010,Barbara Delinsky
0399156135,G.P. Putnam's Sons,2010,Robert Crais
0316065781,"Little, Brown and Co.",2009,Elizabeth Kostova
052595144X,Dutton,2010,John T. Lescroart
0446550000,Grand Central Pub.,2009,Leila Meacham
0399156119,G. P. Putnam's Sons,2010,Stuart Woods
0060888741,Harper,"January 19, 2010",Bernard Cornwell
0399156127,G.P. Putnam's Sons,2010,Jack Higgins
0553804863,Bantam Books,2010,Kay Hooper
0061432717,William Morrow,2010,Tim Dorsey
0316036226,Blank Publisher,Date 0,Some Random Author
042523567X,Berkley Books,2010,Laurell K. Hamilton
0312364121,St. Martin's Press,2010,Kristin Hannah
0307394972,Shaye Areheart Books,2010,Chris Bohjalian
0312567456,St. Martin's Press,2010,Jackie Collins
0061257079,Harper,"February 9, 2010",Adriana Trigiani
0399156194,Amy Einhorn Books/G.P. Putnam's Sons,2010,Sarah Blake
0399156208,G. P. Putnam's Sons,2010,Some Random Author
038551638X,Doubleday,2010,Peter Straub
0307271862,Alfred A. Knopf,2010,Henning Mankell
0374299048,Sarah Crichton Books,2010,Cathleen Schine
0061147958,William Morrow,"February 16, 2010",Joe Hill
031258749X,St. Martin's Press,2010,"Palmer, Michael"
0399156240,G.P. Putnam's Sons,2010,J. D. Robb
0061138037,Eos,"February 23, 2010",Kim Harrison
0399156232,G.P. Putnam's Sons,2010,Robert B. Parker
0385343183,Delacorte Press,2010,Danielle Steel
0758234899,Kensington,"February 1, 2010",Joanne Fluke
0743296435,Atria Books,2010,Jodi Picoult
0446563080,Grand Central Pub.,2010,Seth Grahame-Smith
0451463153,Roc,2010,Anne Bishop
0399156259,G.P. Putnam's Sons,2010,Clive Cussler
0345509080,LucasBooks,"March 9, 2010",Aaron Allston
0399156267,G.P. Putnam's Sons,2010,Randy Wayne White
0670021474,Viking,2010,Danielle Trussoni
052595161X,Dutton,2010,Linda Fairstein
1400068932,Random House,2010,Some Random Author
1594489769,Riverhead Hardcover,"April 1, 2008",Chang-Rae Lee
0312380755,St. Martin's Press,2010,Lisa Scottoline
0553807218,Bantam Books,2010,Sarah Addison Allen
1414318634,Tyndale House Publishers,2010,Francine Rivers
1416593403,Simon & Schuster,2010,Lisa Lutz
052595158X,Dutton,2010,Harlan Coben
0061779725,Blank Publisher,Date 0,Christopher Moore
080211928X,Atlantic Monthly Press,2010,Karl Marlantes
0399156275,G.P. Putnam's Sons,2010,Karen Robards
0061727660,Harper,2010,Jacqueline Winspear
044101819X,Ace Books,"March 30, 2010",Patricia Briggs
0345505670,Ballantine Books,2010,Jonathan Kellerman
0385533411,Nan A. Talese,2010,Ian McEwan
0758225644,Kensington Books,2010,Lisa Jackson
045146317X,Roc/New American Library,2010,Jim Butcher
1439187312,Simon & Schuster,2010,Richard J. Evans
0061246263,William Morrow,04/06/2010,Elizabeth Peters
0670021601,Viking,2010,Martha Grimes
1416533184,Simon & Schuster,2010,Jennifer Chiaverini
0553807072,Bantam Books,2010,sneaky pie brown
1594487510,Riverhead Books,2010,Anne Lamott
0399156453,G.P. Putnam's Sons,2010,C. J. Box
0670021555,Viking,2010,Ann B. Ross
1400068649,Random House,2010,Elizabeth Berg
1439172269,Blank Publisher,Date 0,Mary Higgins Clark
1400065747,Random House,2010,Some Random Author
1439170258,Blank Publisher,2010,Carol Higgins Clark
076531505X,Tor Books,"April 13, 2010",David Weber
1400069262,Spiegel & Grau,2010,Yann Martel
1599951967,Blank Publisher,Date 0,Some Random Author
0446564087,Grand Central Pub.,2010,David Baldacci
0375424504,Pantheon Books,2010,Alexander McCall Smith
0061160881,HarperCollinsPublishers,2010,Elizabeth George
0399156445,G.P. Putnam's Sons,2010,Stuart Woods
0399156461,G.P. Putnam's Sons,2010,Jayne Ann Krentz
0312368151,Blank Publisher,Date 0,Iris Johansen
0316036277,"Little, Brown and Co.",2010,James Patterson
0451229851,New American Library,2010,J. R. Ward
0778327809,Blank Publisher,Date 0,Some Random Author
0553805541,Bantam Books,2010,Laurie R. King
0061988243,Harper,2010,Isabel Allende
0758212739,Kensington Pub. Corp.,2010,Fern Michaels
0061655953,William Morrow,2010,Some Random Author
0441018645,Ace Books,2010,Charlaine Harris
0446562424,Grand Central Pub.,2010,Scott Turow
0399156488,G.P. Putnam's Sons,2010,Robert B. Parker
0385526350,Doubleday,2010,Chuck Palahniuk
0385343663,Dial Press,2010,Tom Rachman
0345471016,Ballantine Books,2010,Nancy Pickard
0312554168,St. Martin's Press,"May 11, 2010",Emily  Griffin
0446554960,Grand Central Publishing,2010,Douglas J. Preston
0061560855,William Morrow,2010,Dale Brown
0385340583,Delacorte Press,2010,Lee Child
0399156496,G. P. Putnam's Sons,2010,John Sandford
0385343302,Dell Books,2010,Mary Balogh
0061926515,Harper,2010,Phillip Margolin
030726999X,Alfred A. Knopf,2010,Stieg Larsson
0345509145,Del Rey,2010,Christie Golden
1451608217,Scribner,May 2010,Stephen King
0373774591,HQN,2010,Diana Palmer
0425234339,Berkley Hardcover,"June 1, 2010",Laurell K. Hamilton
0399156437,G.P. Putnam's Sons,2010,Clive Cussler
1439156336,Simon & Schuster,2010,Jeffery Deaver
0446539813,Grand Central Pub.,2010,Eric Lustbader
0061930210,William Morrow,2010,Steve Martini
0385501129,Doubleday,2010,Aimee Bender
044658083X,Grand Central Pub.,2010,Nelson DeMille
0345504968,Ballantine Books,2010,Justin Cronin
0061629758,William Morrow,June 2010,Ann Maxwell
1439184305,Threshhold Editions,2010,Glenn Beck
0399156534,G. P. Putnam's Sons,2010,Catherine Coulter
055380801X,Bantam Books,2010,Dean Ray Koontz
0061961175,Morrow,2010,Dorothea Benton Frank
1400066034,Random House,2010,Some Random Author
0307266109,Alfred A. Knopf,2010,Bret Easton Ellis
1439101078,Gallery Books,2010,Johanna Lindsey
0312383304,St. Martin's Press,2010,Janet Evanovich
0385343167,Delacorte Press,2010,Danielle Steel
1439133611,Baen Books,2010,David Weber
0385341970,Delacorte Books,2010,Karin Slaughter
0316096156,"Little, Brown and Co.",June 2010,James Patterson
1416586598,Atria Books,2010,Brad Thor
034551548X,Ballantine Books,"June 29, 2010",Tess Gerritsen
0805087745,Henry Holt and Co.,2010,Richard North Patterson
1400065453,Random House,2010,David Mitchell
0399156577,G.P. Putnam's Sons,2010,Nora Roberts
0316043877,"Little, Brown and Co.",2010,Elin Hilderbrand
0425234355,Berkley Hardcover,"July 6, 2010",MaryJanice Davidson
0312595670,St. Martin's Press,2010,Chevy Stevens
0743294270,Atria Books,2010,Jennifer Weiner
1439128294,Simon & Schuster,2010,James Lee Burke
0670021873,Viking,2010,Tana French
0553807242,Bantam Books,2010,Lisa Gardner
0385531540,Doubleday,2010,Christopher Reich
0399156585,Putnam,2010,Daniel Silva
0345511328,Del Rey,2010,Sean Williams
0312611609,St. Martin's Press,2010,Iris Johansen
0765326264,Forge,2010,W. Bruce Cameron
0307272583,Knopf,2010,Carl Hiaasen
1400066409,Random House,2010,Gary Shteyngart
0061239240,William Morrow,2010,Judith A. Jance
0525951784,Dutton Adult,"August 3, 2010",Kelley Armstrong
0385340850,Dial Press,2010,Allegra Goodman
1416563725,Touchstone,2010,Philippa Gregory
0441018688,Ace,2010,Charlaine Harris
031261456X,Minotaur Books,2010,Nevada Barr
1439107971,Atria Books,2010,Jude Deveraux
0399156542,G.P. Putnam's Sons,2010,Ridley Pearson
1416563105,Simon & Schuster,2010,Sandra Brown
0345506898,Ballantine Books,2010,Linda Howard
0399156631,Putnam,2010,William E. Butterworth (W.E.B.) Griffin
1401323138,Hyperion,2010,Nancy Grace
0399156623,Putnam Adult,2010,Tom Dyja
0316089516,"Little, Brown and Co.",2010,James Patterson
0399156801,Putnam,2010,Frederick Forsyth
0743276744,Simon & Schuster,"August 17, 2010",Martin Cruz Smith
1439136610,Simon & Schuster,"May 25, 2010",Lauren Weisberger
039915681X,Putnam,2010,Dick Francis
